,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,provinceID,lockdate,label
0,35,2020-01-31,3,0.0,,,,,
1,59,2020-01-31,1,0.0,,,,,
2,1,2020-01-31,4,0.0,,,,,
3,35,2020-02-08,0,0.0,,,,,
4,59,2020-02-08,3,0.0,,,,,
5,1,2020-02-08,3,0.0,,,,,
6,35,2020-02-16,0,0.0,,,,,
7,59,2020-02-16,1,0.0,,,,,
8,1,2020-02-16,1,0.0,,,,,
9,35,2020-02-21,0,0.0,,,,,
10,59,2020-02-21,1,0.0,,,,,
11,1,2020-02-21,1,0.0,,,,,
12,35,2020-02-24,1,0.0,,,,,
13,59,2020-02-24,0,0.0,,,,,
14,1,2020-02-24,1,0.0,,,,,
15,35,2020-02-25,0,0.0,,,,,
16,59,2020-02-25,1,0.0,,,,,
17,1,2020-02-25,1,0.0,,,,,
18,35,2020-02-26,1,0.0,,,,,
19,59,2020-02-26,0,0.0,,,,,
20,1,2020-02-26,1,0.0,,,,,
21,35,2020-02-27,1,0.0,,,,,
22,59,2020-02-27,0,0.0,,,,,
23,1,2020-02-27,1,0.0,,,,,
24,35,2020-02-29,2,0.0,,,,,
25,59,2020-02-29,0,0.0,,,,,
26,1,2020-02-29,2,0.0,,,,,
27,35,2020-03-01,7,0.0,,,,,
28,59,2020-03-01,1,0.0,,,,,
29,24,2020-03-01,1,0.0,,,,,
30,1,2020-03-01,9,0.0,,,,,
31,35,2020-03-03,5,0.0,,,,,
32,59,2020-03-03,4,0.0,,,,,
33,24,2020-03-03,0,0.0,,,,,
34,1,2020-03-03,9,0.0,,,,,
35,35,2020-03-05,2,0.0,,,,,
36,59,2020-03-05,9,0.0,,,,,
37,24,2020-03-05,1,0.0,,,,,
38,1,2020-03-05,12,0.0,,,,,
39,35,2020-03-06,6,0.0,,,,,
40,59,2020-03-06,0,0.0,,,,,
41,24,2020-03-06,0,0.0,,,,,
42,1,2020-03-06,6,0.0,,,,,
43,35,2020-03-07,0,0.0,,,,,
44,59,2020-03-07,6,0.0,,,,,
45,24,2020-03-07,0,0.0,,,,,
46,1,2020-03-07,6,0.0,,,,,
47,35,2020-03-08,3,0.0,,,,,
48,59,2020-03-08,0,1.0,,,,,
49,24,2020-03-08,1,0.0,,,,,
50,48,2020-03-08,1,0.0,,,,,
51,1,2020-03-08,5,1.0,,,,,
52,35,2020-03-09,3,0.0,,,,,
53,59,2020-03-09,5,0.0,,,,,
54,24,2020-03-09,1,0.0,,,,,
55,48,2020-03-09,6,0.0,,,,,
56,1,2020-03-09,15,0.0,,,,,
57,59,2020-03-11,7,0.0,,,,,
58,48,2020-03-11,7,0.0,,,,,
59,47,2020-03-11,0,0.0,,,,,
60,46,2020-03-11,0,0.0,,,,,
61,35,2020-03-11,8,1.0,,,,,
62,24,2020-03-11,3,0.0,,,,,
63,13,2020-03-11,0,0.0,,,,,
64,10,2020-03-11,0,0.0,,,,,
65,12,2020-03-11,0,0.0,,,,,
66,11,2020-03-11,0,0.0,,,,,
67,61,2020-03-11,0,0.0,,,,,
68,62,2020-03-11,0,0.0,,,,,
69,60,2020-03-11,0,0.0,,,,,
70,99,2020-03-11,1,0.0,,,,,
71,1,2020-03-11,26,1.0,,,,,
72,59,2020-03-12,7,0.0,809.0,,,,
73,48,2020-03-12,5,0.0,784.0,,,,
74,47,2020-03-12,1,0.0,0.0,,,,
75,46,2020-03-12,1,0.0,104.0,,,,
76,35,2020-03-12,17,0.0,0.0,,35.0,2020-03-12,1.0
77,24,2020-03-12,6,0.0,131.0,,,,
78,10,2020-03-12,0,0.0,21.0,,,,
79,13,2020-03-12,1,0.0,16.0,,,,
80,12,2020-03-12,0,0.0,13.0,,,,
81,11,2020-03-12,0,0.0,0.0,,,,
82,60,2020-03-12,0,0.0,32.0,,,,
83,61,2020-03-12,0,0.0,5.0,,,,
84,62,2020-03-12,0,0.0,-23.0,,,,
85,99,2020-03-12,0,0.0,1.0,,,,
86,1,2020-03-12,38,0.0,1893.0,,,,
87,59,2020-03-13,7,0.0,1252.0,,,,
88,48,2020-03-13,4,0.0,1334.0,,,,
89,47,2020-03-13,0,0.0,0.0,,,,
90,46,2020-03-13,2,0.0,195.0,,46.0,2020-03-13,1.0
91,35,2020-03-13,20,0.0,0.0,,,,
92,24,2020-03-13,4,0.0,216.0,,,,
93,10,2020-03-13,0,0.0,51.0,,,,
94,13,2020-03-13,0,0.0,75.0,,,,
95,12,2020-03-13,0,0.0,0.0,,12.0,2020-03-13,1.0
96,11,2020-03-13,0,0.0,0.0,,,,
97,60,2020-03-13,0,0.0,2.0,,,,
98,61,2020-03-13,0,0.0,19.0,,,,
99,62,2020-03-13,0,0.0,0.0,,,,
100,99,2020-03-13,1,0.0,6.0,,,,
101,1,2020-03-13,38,0.0,3150.0,,,,
102,59,2020-03-14,11,0.0,1166.0,,,,
103,48,2020-03-14,6,0.0,1147.0,,,,
104,47,2020-03-14,1,0.0,0.0,,,,
105,46,2020-03-14,1,0.0,300.0,,,,
106,35,2020-03-14,0,0.0,0.0,,35.0,2020-03-14,1.0
107,24,2020-03-14,0,0.0,337.0,,,,
108,10,2020-03-14,0,0.0,96.0,,10.0,2020-03-14,1.0
109,13,2020-03-14,1,0.0,94.0,,,,
110,12,2020-03-14,0,0.0,150.0,,,,
111,11,2020-03-14,0,0.0,0.0,,,,
112,60,2020-03-14,0,0.0,1.0,,,,
113,61,2020-03-14,0,0.0,26.0,,,,
114,62,2020-03-14,0,0.0,1.0,,,,
115,99,2020-03-14,0,0.0,2.0,,,,
116,1,2020-03-14,20,0.0,3320.0,,,,
117,59,2020-03-15,9,0.0,1541.0,,,,
118,48,2020-03-15,10,0.0,1587.0,,48.0,2020-03-15,1.0
119,48,2020-03-15,10,0.0,1587.0,,48.0,2020-03-15,1.0
120,48,2020-03-15,10,0.0,1587.0,,48.0,2020-03-15,1.0
121,47,2020-03-15,0,0.0,0.0,,,,
122,46,2020-03-15,0,0.0,418.0,,,,
123,35,2020-03-15,24,0.0,0.0,,35.0,2020-03-15,1.0
124,24,2020-03-15,7,0.0,279.0,,24.0,2020-03-15,1.0
125,24,2020-03-15,7,0.0,279.0,,24.0,2020-03-15,1.0
