,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday,moving_numtoday_loess5%,moving_numtoday_loess15%,moving_numdeathstoday_loess5%,moving_numdeathstoday_loess15%,moving_numteststoday_loess5%,moving_numteststoday_loess15%,moving_numrecoveredtoday_loess5%,moving_numrecoveredtoday_loess15%
70,99,20200311,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.427623337550163,17.74272657819234,0.06290485299244657,0.1503707154519086,242.3687787634543,505.2703066541438,-0.8100972085644962,-1.570762956798567
85,99,20200312,0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,7.4841901088505995,18.149388818602397,0.08081495962017404,0.15416755537707647,301.79353290274105,522.8449754323046,-0.4228491611733073,-1.0644429978859975
100,99,20200313,1,0.0,6.0,0.0,0.0,0.6666666666666666,0.0,2.3333333333333335,0.0,9.533332588604642,18.54972787893093,0.09856972757812753,0.15792133354715868,360.35714157664495,540.2967397299988,-0.01684016594126435,-0.5571641632111748
115,99,20200314,0,0.0,2.0,0.0,0.0,0.5,0.0,2.25,0.0,11.57068590970208,18.94385659021857,0.11612608916526071,0.16163310887247068,418.09590644324015,557.63049196165,0.4079809905849797,-0.04894733510819285
130,99,20200315,2,0.0,9.0,0.0,0.0,0.8,0.0,3.6,0.0,13.592689926248076,19.331938853206665,0.13346015664318514,0.16530449165049899,475.0642711684472,574.851712651489,0.8513799586985501,0.4601834161106855
145,99,20200316,0,0.0,2.0,0.0,0.0,0.6666666666666666,0.0,3.3333333333333335,0.0,15.597531351254133,19.714191736720153,0.15057741422996873,0.1689376236857751,531.342051688483,591.9663143330986,1.31274023000958,0.9702021288622802
160,99,20200317,4,0.0,6.0,0.0,0.0,1.1428571428571428,0.0,3.7142857142857144,0.0,17.585766033890344,20.090876462665694,0.16750889579956288,0.17253489859878024,587.0508767813233,608.9805206912117,1.7908568485974934,1.4810822348862973
175,99,20200318,1,0.0,6.0,0.0,0.0,1.125,0.0,4.0,0.0,19.561560215094715,20.462289020612705,0.18430251042633983,0.17609866726565523,642.3798192554452,625.9007262425315,2.283609918319902,1.9927978422781614
190,99,20200319,1,0.0,1.0,0.0,0.0,1.1111111111111112,0.0,3.6666666666666665,0.0,21.535360045736347,20.82875016504893,0.2010478727815215,0.17963130438101593,697.5923958171275,642.7332053806934,2.7879452994713967,2.5053250303123167
205,99,20200320,3,0.0,1.0,0.0,0.0,1.3,0.0,3.4,0.0,23.5287374513996,21.19058606778903,0.21789700522812822,0.18313509258206512,752.8873030408149,659.4838087706914,3.303275694672178,3.0186431732288614
