,pruid,date,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
67,61,20200311,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
83,61,20200312,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.5355339059327378,0.0,0.0,0.0,12.5,0.0,,,,,,,,
98,61,20200313,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.848857801796104,0.0,0.0,0.0,97.0,0.0,,,1.2435373651326227,,,,,
113,61,20200314,0.0,0.0,0.0,12.0,0.0,0.0,0.0,12.069244660154448,0.0,0.0,0.0,145.66666666666666,0.0,,,0.13651204366118902,,,,-3.6693599484733124,
128,61,20200315,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.51189802081432,0.0,0.0,0.0,110.5,0.0,,,-0.10330892180729838,,,,-1.5986159169549896,
143,61,20200316,1.0,0.0,0.0,15.0,0.0,0.0,0.0,9.437513796899408,0.0,0.0,0.0,89.06666666666666,0.0,,,-0.2589519155194532,,,,-0.6717534242881852,
158,61,20200317,1.0,0.0,0.0,15.0,0.0,0.0,0.0,11.629191512658789,0.0,0.0,0.0,135.2380952380952,0.0,,,0.10894754202016205,,,,-0.4499586391590057,
173,61,20200318,1.0,0.0,0.0,15.0,0.0,0.0,0.0,11.255950807081051,0.0,0.0,0.0,126.69642857142856,0.0,,,0.4052918416134674,,,,-0.45005849040580304,
188,61,20200319,1.0,0.0,0.0,15.0,0.0,0.0,0.0,11.40175425099138,0.0,0.0,0.0,130.0,0.0,,,0.5802317077728618,,,,-0.5152366863907232,
203,61,20200320,1.0,0.0,0.0,15.0,0.0,0.0,0.0,20.26737937343323,0.0,0.0,0.0,410.76666666666665,0.0,,,1.7331310506311979,,,,3.4859120312707756,
218,61,20200321,1.0,0.0,0.0,15.0,0.0,0.30151134457776363,0.0,19.227347947413577,0.0,0.09090909090909091,0.0,369.6909090909091,0.0,3.3166247903551644,,1.7880102251608292,,10.999999999991774,,3.953383197741685,
233,61,20200322,1.0,0.0,0.0,17.0,0.0,0.28867513459481287,0.0,19.79956381521389,0.0,0.08333333333333333,0.0,392.02272727272725,0.0,3.464101615138261,,1.3116780558193013,,12.000000000012088,,1.6850540316035714,
248,61,20200323,1.0,0.0,0.0,19.0,0.0,0.2773500981126145,0.0,23.44661147679105,0.0,0.07692307692307691,0.0,549.7435897435897,0.0,3.605551275464091,,1.0696471258325562,,12.999999999997485,,0.16848847601270853,
263,61,20200324,1.0,0.0,0.0,19.0,0.0,0.2672612419124244,0.0,22.83204322442908,0.0,0.07142857142857142,0.0,521.3021978021977,0.0,3.7416573867741367,,0.9233496336425596,,14.000000000006194,,-0.01869503657359091,
278,61,20200325,1.0,0.0,0.0,19.0,0.0,0.2581988897471611,0.0,26.750166888664985,0.0,0.06666666666666667,0.0,715.5714285714286,0.0,3.87298334620729,,0.8960780800513692,,14.999999999994065,,-0.2614357963887149,
293,61,20200326,1.0,0.0,0.0,26.0,0.0,0.2581988897471611,0.0,25.464821673381948,0.0,0.06666666666666667,0.0,648.4571428571429,0.0,3.87298334620729,,0.9282391895685451,,14.999999999994065,,-0.10551754484363694,
308,61,20200327,1.0,0.0,0.0,27.0,0.0,0.2581988897471611,0.0,24.50597594756955,0.0,0.06666666666666667,0.0,600.5428571428573,0.0,3.87298334620729,,0.7907483838548015,,14.999999999994065,,-0.19957022969719765,
323,61,20200328,1.0,0.0,0.0,34.0,0.0,0.2581988897471611,0.0,24.133162325097885,0.0,0.06666666666666667,0.0,582.409523809524,0.0,3.87298334620729,,0.6867167548900964,,14.999999999994065,,-0.18440842097380666,
338,61,20200329,1.0,0.0,0.0,36.0,0.0,0.2581988897471611,0.0,35.96598922527199,0.0,0.06666666666666667,0.0,1293.5523809523809,0.0,3.87298334620729,,1.4855289787528314,,14.999999999994065,,2.6889973922181585,
353,61,20200330,1.0,0.0,0.0,39.0,0.0,0.2581988897471611,0.0,35.791991655490015,0.0,0.06666666666666667,0.0,1281.0666666666668,0.0,3.87298334620729,,1.2215731356757218,,14.999999999994065,,2.024092276152253,
368,61,20200331,1.0,0.0,0.0,39.0,0.0,0.2581988897471611,0.0,35.07515740045463,0.0,0.06666666666666667,0.0,1230.2666666666669,0.0,3.87298334620729,,1.2570565002025431,,14.999999999994065,,2.259480152143268,
383,61,20200401,1.0,0.0,0.0,44.0,0.0,0.3518657752744984,0.0,35.613935207336766,0.0,0.12380952380952381,0.0,1268.3523809523813,0.0,2.404763138710466,,0.9715710356632538,,4.349112426039483,,1.4725751381107461,
