,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class
60,46,2020-03-11,0,0.0,,,
75,46,2020-03-12,1,0.0,104.0,,
90,46,2020-03-13,2,0.0,195.0,,1.0
105,46,2020-03-14,1,0.0,300.0,,1.0
120,46,2020-03-15,0,0.0,418.0,,1.0
135,46,2020-03-16,3,0.0,346.0,,1.0
150,46,2020-03-17,0,0.0,267.0,,1.0
165,46,2020-03-18,8,0.0,412.0,,1.0
180,46,2020-03-19,2,0.0,543.0,,1.0
195,46,2020-03-20,0,0.0,451.0,,1.0
210,46,2020-03-21,2,0.0,263.0,,1.0
225,46,2020-03-22,0,0.0,178.0,,1.0
240,46,2020-03-23,1,0.0,269.0,,1.0
255,46,2020-03-24,1,0.0,264.0,,1.0
270,46,2020-03-25,14,0.0,278.0,,1.0
285,46,2020-03-26,1,0.0,352.0,1.0,1.0
300,46,2020-03-27,3,1.0,734.0,0.0,1.0
315,46,2020-03-28,25,0.0,606.0,0.0,1.0
330,46,2020-03-29,8,0.0,917.0,0.0,1.0
345,46,2020-03-30,24,0.0,209.0,1.0,1.0
360,46,2020-03-31,7,0.0,1207.0,2.0,1.0
375,46,2020-04-01,24,0.0,378.0,0.0,1.0
390,46,2020-04-02,40,0.0,1110.0,7.0,1.0
405,46,2020-04-03,15,1.0,1294.0,,1.0
420,46,2020-04-04,12,0.0,626.0,,1.0
435,46,2020-04-05,9,0.0,567.0,17.0,1.0
450,46,2020-04-06,1,0.0,488.0,0.0,1.0
465,46,2020-04-07,13,1.0,458.0,,1.0
480,46,2020-04-08,4,0.0,778.0,,1.0
495,46,2020-04-09,3,0.0,477.0,,1.0
510,46,2020-04-10,6,1.0,553.0,,1.0
525,46,2020-04-11,12,0.0,962.0,,1.0
540,46,2020-04-12,0,0.0,174.0,,1.0
555,46,2020-04-13,4,0.0,849.0,,1.0
570,46,2020-04-14,0,0.0,32.0,,1.0
585,46,2020-04-15,0,1.0,365.0,,1.0
600,46,2020-04-16,4,0.0,317.0,,1.0
615,46,2020-04-17,0,0.0,472.0,,1.0
630,46,2020-04-18,3,0.0,507.0,132.0,1.0
645,46,2020-04-19,0,0.0,340.0,11.0,1.0
660,46,2020-04-20,1,1.0,570.0,0.0,1.0
675,46,2020-04-21,1,0.0,257.0,7.0,1.0
690,46,2020-04-22,2,0.0,314.0,4.0,1.0
705,46,2020-04-23,5,0.0,443.0,20.0,1.0
720,46,2020-04-24,1,0.0,324.0,22.0,1.0
735,46,2020-04-25,4,0.0,786.0,3.0,1.0
750,46,2020-04-26,4,0.0,599.0,0.0,1.0
765,46,2020-04-27,1,0.0,407.0,6.0,1.0
780,46,2020-04-28,0,0.0,372.0,4.0,1.0
795,46,2020-04-29,1,0.0,321.0,4.0,1.0
810,46,2020-04-30,2,0.0,448.0,7.0,1.0
825,46,2020-05-01,4,0.0,424.0,15.0,1.0
840,46,2020-05-02,1,0.0,689.0,1.0,0.0
855,46,2020-05-03,1,0.0,781.0,1.0,0.0
870,46,2020-05-04,0,0.0,643.0,1.0,0.0
885,46,2020-05-05,1,1.0,642.0,0.0,0.0
900,46,2020-05-06,1,0.0,339.0,4.0,0.0
915,46,2020-05-07,0,0.0,522.0,1.0,0.0
930,46,2020-05-08,1,0.0,527.0,4.0,0.0
945,46,2020-05-09,0,0.0,543.0,0.0,0.0
960,46,2020-05-10,3,0.0,682.0,0.0,0.0
975,46,2020-05-11,2,0.0,641.0,0.0,0.0
990,46,2020-05-12,0,0.0,374.0,4.0,0.0
1005,46,2020-05-13,0,0.0,418.0,0.0,0.0
1020,46,2020-05-14,0,0.0,527.0,1.0,0.0
1035,46,2020-05-15,0,0.0,306.0,2.0,0.0
1050,46,2020-05-16,0,0.0,819.0,3.0,0.0
1065,46,2020-05-17,0,0.0,913.0,0.0,0.0
1080,46,2020-05-18,1,0.0,783.0,0.0,1.0
1095,46,2020-05-19,0,0.0,496.0,0.0,1.0
1110,46,2020-05-20,0,0.0,396.0,0.0,1.0
1125,46,2020-05-21,0,0.0,259.0,8.0,1.0
1140,46,2020-05-22,2,0.0,594.0,2.0,0.0
1155,46,2020-05-23,0,0.0,885.0,1.0,0.0
1170,46,2020-05-24,0,0.0,618.0,0.0,0.0
