,pruid,date,Class
0,1.0,2020-03-15,1.0
1,1.0,2020-03-16,1.0
2,1.0,2020-03-17,1.0
3,1.0,2020-03-18,1.0
4,1.0,2020-03-19,1.0
5,1.0,2020-03-20,1.0
6,1.0,2020-03-21,1.0
7,1.0,2020-03-22,1.0
8,1.0,2020-03-23,1.0
9,1.0,2020-03-24,1.0
10,1.0,2020-03-25,1.0
11,1.0,2020-03-26,1.0
12,1.0,2020-03-27,1.0
13,1.0,2020-03-28,1.0
14,1.0,2020-03-29,1.0
15,1.0,2020-03-30,1.0
16,1.0,2020-03-31,1.0
17,1.0,2020-04-01,1.0
18,1.0,2020-04-02,1.0
19,1.0,2020-04-03,1.0
20,1.0,2020-04-04,1.0
21,1.0,2020-04-05,1.0
22,1.0,2020-04-06,1.0
23,1.0,2020-04-07,1.0
24,1.0,2020-04-08,1.0
25,1.0,2020-04-09,1.0
26,1.0,2020-04-10,1.0
27,1.0,2020-04-11,1.0
28,1.0,2020-04-12,1.0
29,1.0,2020-04-13,1.0
30,1.0,2020-04-14,1.0
31,1.0,2020-04-15,1.0
32,1.0,2020-04-16,1.0
33,1.0,2020-04-17,1.0
34,1.0,2020-04-18,1.0
35,1.0,2020-04-19,1.0
36,1.0,2020-04-20,1.0
37,1.0,2020-04-21,1.0
38,1.0,2020-04-22,1.0
39,1.0,2020-04-23,1.0
40,1.0,2020-04-24,1.0
41,1.0,2020-04-25,1.0
42,1.0,2020-04-26,1.0
43,1.0,2020-04-27,1.0
44,1.0,2020-04-28,1.0
45,1.0,2020-04-29,1.0
46,1.0,2020-04-30,1.0
47,1.0,2020-05-01,0.0
48,1.0,2020-05-02,0.0
49,1.0,2020-05-03,0.0
50,1.0,2020-05-04,0.0
51,1.0,2020-05-05,0.0
52,1.0,2020-05-06,0.0
53,1.0,2020-05-07,0.0
54,1.0,2020-05-08,0.0
55,1.0,2020-05-09,0.0
56,1.0,2020-05-10,0.0
57,1.0,2020-05-11,0.0
58,1.0,2020-05-12,0.0
59,1.0,2020-05-13,0.0
60,1.0,2020-05-14,0.0
61,1.0,2020-05-15,0.0
62,1.0,2020-05-16,0.0
63,1.0,2020-05-17,0.0
64,1.0,2020-05-18,0.0
65,1.0,2020-05-19,0.0
66,1.0,2020-05-20,0.0
67,1.0,2020-05-21,0.0
68,1.0,2020-05-22,0.0
69,1.0,2020-05-23,0.0
70,1.0,2020-05-24,0.0
71,1.0,2020-05-25,0.0
72,1.0,2020-05-26,0.0
73,1.0,2020-05-27,0.0
74,1.0,2020-05-28,0.0
75,1.0,2020-05-29,0.0
76,1.0,2020-05-30,0.0
77,1.0,2020-05-31,0.0
78,1.0,2020-06-01,0.0
79,1.0,2020-06-02,0.0
80,1.0,2020-06-03,0.0
81,1.0,2020-06-04,0.0
82,1.0,2020-06-05,0.0
83,1.0,2020-06-06,0.0
84,1.0,2020-06-07,0.0
85,1.0,2020-06-08,0.0
86,1.0,2020-06-09,0.0
87,1.0,2020-06-10,0.0
88,1.0,2020-06-11,0.0
89,1.0,2020-06-12,0.0
90,1.0,2020-06-13,0.0
91,1.0,2020-06-14,0.0
92,1.0,2020-06-15,0.0
93,1.0,2020-06-16,0.0
94,1.0,2020-06-17,0.0
95,1.0,2020-06-18,0.0
96,1.0,2020-06-19,0.0
97,1.0,2020-06-20,0.0
98,1.0,2020-06-21,0.0
99,1.0,2020-06-22,0.0
100,1.0,2020-06-23,0.0
101,1.0,2020-06-24,0.0
102,1.0,2020-06-25,0.0
103,1.0,2020-06-26,0.0
104,1.0,2020-06-27,0.0
105,1.0,2020-06-28,0.0
106,1.0,2020-06-29,0.0
107,1.0,2020-06-30,0.0
108,1.0,2020-07-01,0.0
109,1.0,2020-07-02,0.0
110,1.0,2020-07-03,0.0
111,1.0,2020-07-04,0.0
112,1.0,2020-07-05,0.0
113,1.0,2020-07-06,0.0
114,1.0,2020-07-07,0.0
115,1.0,2020-07-08,0.0
116,1.0,2020-07-09,0.0
117,1.0,2020-07-10,0.0
118,1.0,2020-07-11,0.0
119,1.0,2020-07-12,0.0
120,1.0,2020-07-13,0.0
121,1.0,2020-07-14,0.0
122,1.0,2020-07-15,0.0
123,1.0,2020-07-16,0.0
124,1.0,2020-07-17,0.0
125,1.0,2020-07-18,0.0
126,1.0,2020-07-19,0.0
127,1.0,2020-07-20,0.0
128,1.0,2020-07-21,0.0
129,1.0,2020-07-22,0.0
130,1.0,2020-07-23,0.0
131,1.0,2020-07-24,0.0
132,1.0,2020-07-25,0.0
133,1.0,2020-07-26,0.0
134,1.0,2020-07-27,0.0
135,1.0,2020-07-28,0.0
136,1.0,2020-07-29,0.0
