,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,moving_numtoday,moving_numdeathstoday,moving_numteststoday,moving_numrecoveredtoday
50,48,20200308,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,48,20200309,6,0.0,0.0,0.0,3.5,0.0,0.0,0.0
58,48,20200311,7,0.0,0.0,0.0,4.666666666666667,0.0,0.0,0.0
73,48,20200312,5,0.0,784.0,0.0,4.75,0.0,196.0,0.0
88,48,20200313,4,0.0,1334.0,0.0,4.6,0.0,423.6,0.0
103,48,20200314,6,0.0,1147.0,0.0,4.833333333333333,0.0,544.1666666666666,0.0
118,48,20200315,10,0.0,1587.0,0.0,5.571428571428571,0.0,693.1428571428571,0.0
133,48,20200316,17,0.0,1555.0,0.0,7.0,0.0,800.875,0.0
148,48,20200317,18,0.0,1834.0,0.0,8.222222222222221,0.0,915.6666666666666,0.0
163,48,20200318,23,0.0,1485.0,0.0,9.7,0.0,972.6,0.0
178,48,20200319,49,1.0,2083.0,0.0,14.5,0.1,1180.9,0.0
193,48,20200320,49,0.0,2878.0,0.0,18.8,0.1,1468.7,0.0
208,48,20200321,31,0.0,2869.0,0.0,21.2,0.1,1755.6,0.0
223,48,20200322,33,0.0,3593.0,0.0,24.0,0.1,2036.5,0.0
238,48,20200323,42,0.0,3507.0,0.0,27.8,0.1,2253.8,0.0
253,48,20200324,57,1.0,2854.0,0.0,32.9,0.2,2424.5,0.0
268,48,20200325,61,0.0,2728.0,0.0,38.0,0.2,2538.6,0.0
283,48,20200326,67,0.0,3143.0,27.0,43.0,0.2,2697.4,2.7
298,48,20200327,56,0.0,1645.0,0.0,46.8,0.2,2678.5,2.7
313,48,20200328,0,0.0,1316.0,26.0,44.5,0.2,2661.6,5.3
328,48,20200329,79,0.0,3697.0,20.0,47.5,0.1,2823.0,7.3
343,48,20200330,69,6.0,2145.0,21.0,49.5,0.7,2749.7,9.4
358,48,20200331,64,1.0,1929.0,26.0,52.8,0.8,2655.7,12.0
373,48,20200401,0,0.0,2549.0,22.0,49.5,0.8,2551.3,14.2
388,48,20200402,214,4.0,4771.0,32.0,66.7,1.2,2677.7,17.4
