,pruid,date,numtoday,numdeathstoday,numteststoday,numrecoveredtoday,Class,median_numtoday,median_numdeathstoday,median_numteststoday,median_numrecoveredtoday,std_numtoday,std_numdeathstoday,std_numteststoday,std_numrecoveredtoday,var_numtoday,var_numdeathstoday,var_numteststoday,var_numrecoveredtoday,skew_numtoday,skew_numdeathstoday,skew_numteststoday,skew_numrecoveredtoday,kurt_numtoday,kurt_numdeathstoday,kurt_numteststoday,kurt_numrecoveredtoday
0,35,20200131,3,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,59,20200131,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,20200131,4,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,35,20200208,0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.1213203435596424,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,59,20200208,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4142135623730951,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,20200208,3,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,35,20200216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7320508075688772,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.7320508075688767,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,59,20200216,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1547005383792517,0.0,0.0,0.0,1.3333333333333335,0.0,0.0,0.0,1.7320507985219806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1,20200216,1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.5275252316519465,0.0,0.0,0.0,2.333333333333333,0.0,0.0,0.0,-0.935225393530145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,35,20200221,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,2.25,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
10,59,20200221,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,2.0000000000000004,0.0,0.0,0.0,4.0,0.0,0.0,0.0
11,1,20200221,1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.4999999999999998,0.0,0.0,0.0,2.2499999999999996,0.0,0.0,0.0,0.3703703703703703,0.0,0.0,0.0,-3.890946502057613,0.0,0.0,0.0
12,35,20200224,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3038404810405297,0.0,0.0,0.0,1.7,0.0,0.0,0.0,1.7143921075143869,0.0,0.0,0.0,2.6634643621045355,0.0,0.0,0.0
13,59,20200224,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0954451150103324,0.0,0.0,0.0,1.2000000000000002,0.0,0.0,0.0,1.2932338132999395,0.0,0.0,0.0,2.916665332316773,0.0,0.0,0.0
14,1,20200224,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.414213562373095,0.0,0.0,0.0,1.9999999999999998,0.0,0.0,0.0,0.8838800545555828,0.0,0.0,0.0,-1.808734041549607,0.0,0.0,0.0
15,35,20200225,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2110601416389966,0.0,0.0,0.0,1.4666666666666666,0.0,0.0,0.0,1.9517082401536472,0.0,0.0,0.0,3.655990579225893,0.0,0.0,0.0
16,59,20200225,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9831920802501751,0.0,0.0,0.0,0.9666666666666668,0.0,0.0,0.0,1.437962256193478,0.0,0.0,0.0,3.602844357370087,0.0,0.0,0.0
17,1,20200225,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3291601358251257,0.0,0.0,0.0,1.7666666666666664,0.0,0.0,0.0,1.2066095539826103,0.0,0.0,0.0,-0.44091435916226135,0.0,0.0,0.0
18,35,20200226,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1126972805283735,0.0,0.0,0.0,1.238095238095238,0.0,0.0,0.0,1.7836075142978314,0.0,0.0,0.0,3.2305148368749586,0.0,0.0,0.0
19,59,20200226,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.3999999998794617,0.0,0.0,0.0,2.9999979283020366,0.0,0.0,0.0
20,1,20200226,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2535663410560174,0.0,0.0,0.0,1.5714285714285712,0.0,0.0,0.0,1.4504082185741074,0.0,0.0,0.0,0.5229434181885416,0.0,0.0,0.0
21,35,20200227,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0350983390135313,0.0,0.0,0.0,1.0714285714285714,0.0,0.0,0.0,1.6745590906707792,0.0,0.0,0.0,3.1360000000000006,0.0,0.0,0.0
22,59,20200227,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9910312089651149,0.0,0.0,0.0,0.9821428571428571,0.0,0.0,0.0,1.4860553930134748,0.0,0.0,0.0,2.973090909090909,0.0,0.0,0.0
23,1,20200227,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1877349391654206,0.0,0.0,0.0,1.4107142857142854,0.0,0.0,0.0,1.6519050267514583,0.0,0.0,0.0,1.3498638038775832,0.0,0.0,0.0
24,35,20200229,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0540925533894596,0.0,0.0,0.0,1.111111111111111,0.0,0.0,0.0,1.0943743392132148,0.0,0.0,0.0,0.6118363598211227,0.0,0.0,0.0
25,59,20200229,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.97182531580755,0.0,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,1.599692686370721,0.0,0.0,0.0,3.194270026690819,0.0,0.0,0.0
26,1,20200229,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1180339887498947,0.0,0.0,0.0,1.2499999999999998,0.0,0.0,0.0,1.5333040288550333,0.0,0.0,0.0,1.25784198303695,0.0,0.0,0.0
27,35,20200301,7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.1730674684008826,0.0,0.0,0.0,4.722222222222221,0.0,0.0,0.0,2.11140950193615,0.0,0.0,0.0,4.867038335295756,0.0,0.0,0.0
28,59,20200301,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9189365834726815,0.0,0.0,0.0,0.8444444444444444,0.0,0.0,0.0,1.5464099070457848,0.0,0.0,0.0,3.3344880230652643,0.0,0.0,0.0
29,24,20200301,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,20200301,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.5473297566057065,0.0,0.0,0.0,6.488888888888889,0.0,0.0,0.0,2.313059190960155,0.0,0.0,0.0,5.652104376731709,0.0,0.0,0.0
31,35,20200303,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3159525823376357,0.0,0.0,0.0,5.363636363636362,0.0,0.0,0.0,1.4495383849403862,0.0,0.0,0.0,1.380715094279167,0.0,0.0,0.0
32,59,20200303,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.300349603340998,0.0,0.0,0.0,1.690909090909091,0.0,0.0,0.0,1.4663826010717722,0.0,0.0,0.0,1.6406537949618543,0.0,0.0,0.0
33,24,20200303,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1,20200303,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.1304951684997055,0.0,0.0,0.0,9.8,0.0,0.0,0.0,1.529826862186846,0.0,0.0,0.0,0.9682155531013765,0.0,0.0,0.0
35,35,20200305,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.208797835653566,0.0,0.0,0.0,4.878787878787878,0.0,0.0,0.0,1.4667488338848482,0.0,0.0,0.0,1.670875847539724,0.0,0.0,0.0
36,59,20200305,9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.598076211353316,0.0,0.0,0.0,6.75,0.0,0.0,0.0,2.307068348398141,0.0,0.0,0.0,5.7540341688489836,0.0,0.0,0.0
37,24,20200305,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5773502691896258,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.0,-1.7320525527897053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1,20200305,12,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,3.9571569224748857,0.0,0.0,0.0,15.659090909090908,0.0,0.0,0.0,1.2682281658691867,0.0,0.0,0.0,0.14688091373430376,0.0,0.0,0.0
39,35,20200306,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.409915415049314,0.0,0.0,0.0,5.807692307692307,0.0,0.0,0.0,1.0539938921161718,0.0,0.0,0.0,-0.1341222981206422,0.0,0.0,0.0
40,59,20200306,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.534379001467011,0.0,0.0,0.0,6.423076923076923,0.0,0.0,0.0,2.3998775388461038,0.0,0.0,0.0,6.24780093089226,0.0,0.0,0.0
41,24,20200306,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,0.0,0.0
42,1,20200306,6,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.8397382389415227,0.0,0.0,0.0,14.743589743589745,0.0,0.0,0.0,1.1130947331523597,0.0,0.0,0.0,-0.08623866497345706,0.0,0.0,0.0
43,35,20200307,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3858557568108956,0.0,0.0,0.0,5.692307692307692,0.0,0.0,0.0,1.1497942478579357,0.0,0.0,0.0,0.10962695095430904,0.0,0.0,0.0
44,59,20200307,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.70225790815714,0.0,0.0,0.0,7.302197802197802,0.0,0.0,0.0,1.779856499839044,0.0,0.0,0.0,2.741121475387627,0.0,0.0,0.0
45,24,20200307,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5477225575051661,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.6085792186623317,0.0,0.0,0.0,-3.3429076190390323,0.0,0.0,0.0
46,1,20200307,6,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,3.730627617115171,0.0,0.0,0.0,13.91758241758242,0.0,0.0,0.0,0.9821496280990836,0.0,0.0,0.0,-0.23148977724715944,0.0,0.0,0.0
47,35,20200308,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3135213317324204,0.0,0.0,0.0,5.352380952380952,0.0,0.0,0.0,1.0649849319961835,0.0,0.0,0.0,0.0756046900499566,0.0,0.0,0.0
48,59,20200308,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.6511453050656106,0.2581988897471611,0.0,0.0,7.028571428571429,0.06666666666666667,0.0,0.0,1.8672237299421657,3.87298334620729,0.0,0.0,3.1023199516543967,14.999999999994065,0.0,0.0
49,24,20200308,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5477225575051661,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3333333333333335,0.0,0.0,0.0
50,48,20200308,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1,20200308,5,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.602908877692077,0.2581988897471611,0.0,0.0,12.980952380952383,0.06666666666666667,0.0,0.0,0.9432652674942422,3.8729833491513674,0.0,0.0,-0.13218045132643325,15.000000965256376,0.0,0.0
52,35,20200309,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.3135213317324204,0.0,0.0,0.0,5.352380952380952,0.0,0.0,0.0,1.0649849319961835,0.0,0.0,0.0,0.0756046900499566,0.0,0.0,0.0
53,59,20200309,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.76371041140262,0.2581988897471611,0.0,0.0,7.6380952380952385,0.06666666666666667,0.0,0.0,1.4430609490799362,3.87298334620729,0.0,0.0,1.4174206594920156,14.999999999994065,0.0,0.0
54,24,20200309,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5345224838248488,0.0,0.0,0.0,0.28571428571428575,0.0,0.0,0.0,-0.3741669330010008,0.0,0.0,0.0,-2.805339060035795,0.0,0.0,0.0
55,48,20200309,6,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,3.5355339059327378,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,20200309,15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.564876256602718,0.2581988897471611,0.0,0.0,20.83809523809524,0.06666666666666667,0.0,0.0,1.0143531973307924,3.8729833491513674,0.0,0.0,0.06269033075240643,15.000000965256376,0.0,0.0
