,pruid,date,numtoday,numdeathstoday,numtestedtoday,numrecoveredtoday
0,35,20200131,3,0.0,0.0,0.0
1,59,20200131,1,0.0,0.0,0.0
2,1,20200131,4,0.0,0.0,0.0
3,35,20200208,0,0.0,0.0,0.0
4,59,20200208,3,0.0,0.0,0.0
5,1,20200208,3,0.0,0.0,0.0
6,35,20200216,0,0.0,0.0,0.0
7,59,20200216,1,0.0,0.0,0.0
8,1,20200216,1,0.0,0.0,0.0
9,35,20200221,0,0.0,0.0,0.0
10,59,20200221,1,0.0,0.0,0.0
11,1,20200221,1,0.0,0.0,0.0
12,35,20200224,1,0.0,0.0,0.0
13,59,20200224,0,0.0,0.0,0.0
14,1,20200224,1,0.0,0.0,0.0
15,35,20200225,0,0.0,0.0,0.0
16,59,20200225,1,0.0,0.0,0.0
17,1,20200225,1,0.0,0.0,0.0
18,35,20200226,1,0.0,0.0,0.0
19,59,20200226,0,0.0,0.0,0.0
20,1,20200226,1,0.0,0.0,0.0
21,35,20200227,1,0.0,0.0,0.0
22,59,20200227,0,0.0,0.0,0.0
23,1,20200227,1,0.0,0.0,0.0
24,35,20200229,2,0.0,0.0,0.0
25,59,20200229,0,0.0,0.0,0.0
26,1,20200229,2,0.0,0.0,0.0
27,35,20200301,7,0.0,0.0,0.0
28,59,20200301,1,0.0,0.0,0.0
29,24,20200301,1,0.0,0.0,0.0
30,1,20200301,9,0.0,0.0,0.0
31,35,20200303,5,0.0,0.0,0.0
32,59,20200303,4,0.0,0.0,0.0
33,24,20200303,0,0.0,0.0,0.0
34,1,20200303,9,0.0,0.0,0.0
35,35,20200305,2,0.0,0.0,0.0
36,59,20200305,9,0.0,0.0,0.0
37,24,20200305,1,0.0,0.0,0.0
38,1,20200305,12,0.0,0.0,0.0
39,35,20200306,6,0.0,0.0,0.0
40,59,20200306,0,0.0,0.0,0.0
41,24,20200306,0,0.0,0.0,0.0
42,1,20200306,6,0.0,0.0,0.0
43,35,20200307,0,0.0,0.0,0.0
44,59,20200307,6,0.0,0.0,0.0
45,24,20200307,0,0.0,0.0,0.0
46,1,20200307,6,0.0,0.0,0.0
47,35,20200308,3,0.0,0.0,0.0
48,59,20200308,0,1.0,0.0,0.0
49,24,20200308,1,0.0,0.0,0.0
50,48,20200308,1,0.0,0.0,0.0
51,1,20200308,5,1.0,0.0,0.0
52,35,20200309,3,0.0,0.0,0.0
53,59,20200309,5,0.0,0.0,0.0
54,24,20200309,1,0.0,0.0,0.0
55,48,20200309,6,0.0,0.0,0.0
56,1,20200309,15,0.0,0.0,0.0
57,59,20200311,7,0.0,4373.0,0.0
58,48,20200311,7,0.0,1969.0,0.0
59,47,20200311,0,0.0,204.0,0.0
60,46,20200311,0,0.0,352.0,0.0
61,35,20200311,8,1.0,3394.0,0.0
62,24,20200311,3,0.0,556.0,0.0
63,13,20200311,0,0.0,22.0,0.0
64,10,20200311,0,0.0,44.0,0.0
65,12,20200311,0,0.0,103.0,0.0
66,11,20200311,0,0.0,6.0,0.0
67,61,20200311,0,0.0,0.0,0.0
68,62,20200311,0,0.0,0.0,0.0
69,60,20200311,0,0.0,0.0,0.0
70,99,20200311,1,0.0,29.0,0.0
71,1,20200311,26,1.0,11023.0,0.0
72,59,20200312,7,0.0,822.0,0.0
73,48,20200312,5,0.0,2140.0,0.0
74,47,20200312,1,0.0,81.0,0.0
75,46,20200312,1,0.0,0.0,0.0
76,35,20200312,17,0.0,791.0,0.0
77,24,20200312,6,0.0,184.0,0.0
78,10,20200312,0,0.0,30.0,0.0
79,13,20200312,1,0.0,0.0,0.0
80,12,20200312,0,0.0,79.0,0.0
81,11,20200312,0,0.0,0.0,0.0
82,60,20200312,0,0.0,0.0,0.0
83,61,20200312,0,0.0,34.0,0.0
84,62,20200312,0,0.0,1.0,0.0
85,99,20200312,0,0.0,0.0,0.0
86,1,20200312,38,0.0,4162.0,0.0
87,59,20200313,7,0.0,0.0,0.0
88,48,20200313,4,0.0,0.0,0.0
89,47,20200313,0,0.0,0.0,0.0
90,46,20200313,2,0.0,0.0,0.0
91,35,20200313,20,0.0,0.0,0.0
92,24,20200313,4,0.0,0.0,0.0
93,10,20200313,0,0.0,0.0,0.0
94,13,20200313,0,0.0,0.0,0.0
95,12,20200313,0,0.0,0.0,0.0
96,11,20200313,0,0.0,0.0,0.0
97,60,20200313,0,0.0,0.0,0.0
98,61,20200313,0,0.0,0.0,0.0
99,62,20200313,0,0.0,0.0,0.0
100,99,20200313,1,0.0,0.0,0.0
101,1,20200313,38,0.0,0.0,0.0
102,59,20200314,11,0.0,1838.0,0.0
103,48,20200314,6,0.0,1138.0,0.0
104,47,20200314,1,0.0,64.0,0.0
105,46,20200314,1,0.0,485.0,0.0
106,35,20200314,0,0.0,2461.0,0.0
107,24,20200314,0,0.0,844.0,0.0
108,10,20200314,0,0.0,10.0,0.0
109,13,20200314,1,0.0,38.0,0.0
110,12,20200314,0,0.0,299.0,0.0
